po_number,supplier_id,store,line,sku,description,qty_ordered,unit_price_eur,order_date
PO-2026-0401,S01,HH1,1,GN-ERDE20,Blumenerde 20L,40,4.20,2026-09-05
PO-2026-0401,S01,HH1,2,GN-TOPF30,Pflanzkuebel 30cm,20,8.90,2026-09-05
PO-2026-0401,S01,HH1,3,GN-DUENGER,Universaldünger 5kg,15,6.50,2026-09-05
PO-2026-0402,S02,KI1,1,WK-SPAT,Spaten,25,14.90,2026-09-04
PO-2026-0402,S02,KI1,2,WK-HARKE,Harke,25,11.20,2026-09-04
PO-2026-0402,S02,KI1,3,WK-SCHERE,Gartenschere,30,9.75,2026-09-04
PO-2026-0403,S03,LU1,1,HP-DIELE,Terrassendiele Laerche 4m,60,18.50,2026-09-06
PO-2026-0403,S03,LU1,2,HP-PFOSTEN,Holzpfosten 9x9,20,12.40,2026-09-06
PO-2026-0404,S04,FL1,1,LE-LED60,LED-Strahler 60W,15,34.90,2026-09-08
PO-2026-0404,S04,FL1,2,LE-KABEL,Gartenkabel 20m,10,16.80,2026-09-08
PO-2026-0404,S04,FL1,3,LE-TIMER,Zeitschaltuhr,12,9.40,2026-09-08
PO-2026-0405,S05,NMS1,1,FA-LASUR,Holzlasur 2.5L,18,22.90,2026-09-10
PO-2026-0405,S05,NMS1,2,FA-GRUND,Grundierung 5L,10,19.50,2026-09-10
PO-2026-0406,S06,NOR1,1,PM-ROSE,Rosenstock,40,7.90,2026-09-07
PO-2026-0406,S06,NOR1,2,PM-HORT,Hortensie,25,9.40,2026-09-07
PO-2026-0406,S06,NOR1,3,PM-LAVENDEL,Lavendel 3L Topf,30,4.60,2026-09-07
PO-2026-0407,S01,ITZ1,1,GN-MULCH,Rindenmulch 60L,50,5.60,2026-08-28
PO-2026-0407,S01,ITZ1,2,GN-TORF,Pflanzsubstrat 45L,20,7.80,2026-08-28
PO-2026-0408,S02,REN1,1,WK-SAEGE,Handsäge,20,13.50,2026-09-09
PO-2026-0408,S02,REN1,2,WK-HANDSCH,Gartenhandschuhe Set,40,6.90,2026-09-09
PO-2026-0409,S03,ELM1,1,HP-UHK,Unterkonstruktion Alu,30,9.20,2026-09-11
PO-2026-0409,S03,ELM1,2,HP-SCHRAUBEN,Terrassenschrauben Edelstahl,50,2.15,2026-09-11
PO-2026-0409,S03,ELM1,3,HP-DIELE,Terrassendiele Laerche 4m,20,18.50,2026-09-11
PO-2026-0410,S06,PIN1,1,PM-BUXUS,Buchsbaum 40cm,15,12.90,2026-09-12
PO-2026-0410,S06,PIN1,2,PM-ROSE,Rosenstock,20,7.90,2026-09-12
PO-2026-0411,S01,BSG1,1,GN-DUENGER,Universaldünger 5kg,30,12.45,2026-09-09
PO-2026-0411,S01,BSG1,2,GN-ERDE20,Blumenerde 20L,20,4.20,2026-09-09
PO-2026-0412,S05,HH2,1,FA-DISP,Dispersionsfarbe 10L,25,21.00,2026-09-05
PO-2026-0412,S05,HH2,2,FA-PINSEL,Pinselset,15,8.50,2026-09-05
PO-2026-0413,S02,KI2,1,WK-HANDSCH,Gartenhandschuhe Set,40,6.90,2026-09-08
PO-2026-0413,S02,KI2,2,WK-SCHERE,Gartenschere,15,9.75,2026-09-08
PO-2026-0414,S01,LU2,1,GN-TOPF30,Pflanzkuebel 30cm,25,8.90,2026-09-04
PO-2026-0414,S01,LU2,2,GN-MULCH,Rindenmulch 60L,30,5.60,2026-09-04
PO-2026-0415,S03,ITZ2,1,HP-SCHRAUBEN,Terrassenschrauben Edelstahl,40,2.15,2026-09-05
PO-2026-0415,S03,ITZ2,2,HP-PFOSTEN,Holzpfosten 9x9,10,12.40,2026-09-05
PO-2026-0416,S04,REN2,1,LE-SOLAR,Solarleuchte,20,11.20,2026-09-06
PO-2026-0416,S04,REN2,2,LE-TIMER,Zeitschaltuhr,15,9.40,2026-09-06
PO-2026-0418,S06,BSG2,1,PM-LAVENDEL,Lavendel 3L Topf,40,4.60,2026-09-08
PO-2026-0418,S06,BSG2,2,PM-HORT,Hortensie,20,9.40,2026-09-08
